Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Seagate FireCuda 530 w/Heatsink  ,2 TB,$189.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,189.99
 Kingston Fury Renegade with Heat Sink  ,1 TB,$124.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,124.99
 Verbatim Vi550  ,512 GB,$37.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,37.99
 Crucial T705 W/Heatsink  ,2 TB,$336.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,336.99
 SK Hynix Platinum P41  ,500 GB,$82.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,82.99
 Corsair MP600 PRO LPX  ,1 TB,$89.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,89.99
 Corsair MP600 PRO  ,2 TB,$173.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 3,173.99
 Corsair MP600 PRO NH  ,500 GB,$64.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,64.99
 SK Hynix Gold S31 1000  ,1 TB,$169.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 10,169.99
 Corsair MP600 Force Series Gen4  ,2 TB,$356.46,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 20,356.46
 PNY CS2241  ,500 GB,$48.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,48.99
 Lexar NS100  ,1 TB,$76.41,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,76.41
 ADATA SU800  ,256 GB,$39.90,SSD,"2.5""",SATA 6.0 Gb/s,5, 25,39.9
 Transcend TS32GSSD370S  ,32 GB,$36.95,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,36.95
 Patriot Viper VP4300 Lite  ,1 TB,$84.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,84.99
 Intenso High Performance  ,120 GB,$18.25,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,18.25
 Crucial MX300  ,525 GB,$179.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 70,179.99
 Silicon Power A55  ,512 GB,$34.99,SSD,M.2-2280,M.2 SATA,0, 0,34.99
 Western Digital Blue  ,4 TB,$373.29,SSD,"2.5""",SATA 6.0 Gb/s,5, 4,373.29
 TEAMGROUP T-Force Delta Max RGB Lite  ,1 TB,$81.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,81.99
 Western Digital SN530  ,512 GB,$93.88,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,93.88
 ADATA Ultimate SU650  ,240 GB,$26.92,SSD,"2.5""",SATA 6.0 Gb/s,5, 4,26.92
 Kingston A400  ,240 GB,$40.99,SSD,M.2-2280,M.2 SATA,4, 16,40.99
 Nextorage NEM-PA  ,2 TB,$159.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,159.99
 ADATA SU800  ,512 GB,$65.61,SSD,"2.5""",SATA 6.0 Gb/s,5, 23,65.61
 Samsung 860 Evo  ,1 TB,$219.99,SSD,M.2-2280,M.2 SATA,5, 13,219.99
 ADATA LEGEND 970  ,2 TB,$299.99,SSD,M.2-2280,M.2 PCIe 5.0 X4,0, 0,299.99
 Verbatim Vi550  ,128 GB,$22.94,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,22.94
 KIOXIA EXCERIA PRO  ,2 TB,$238.89,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,238.89
 PNY CS900  ,2 TB,$129.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,129.0
 Patriot P400 Lite  ,500 GB,$44.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,44.99
 TEAMGROUP T-Force Cardea Z44L  ,250 GB,$35.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,35.99
 Addlink S70  ,1 TB,$69.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,69.98
 PNY CS1030  ,250 GB,$32.92,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,32.92
 Gigabyte GP-GSTFS31256GTND  ,256 GB,$30.30,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,30.3
 Western Digital Green  ,240 GB,$39.99,SSD,M.2-2280,M.2 SATA,4, 13,39.99
