Brand,Model,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price,Release Year
AMD,Ryzen 3 3300X  ,4,3.8 GHz,4.3 GHz,65 W,,Yes,5,21,$150.00,2019.0
AMD,Ryzen 5 1500X  ,4,3.5 GHz,3.7 GHz,65 W,,Yes,5,50,$195.00,2017.0
Intel,Core i7-9700KF  ,8,3.6 GHz,4.9 GHz,95 W,,No,5,7,$280.00,2018.0
Intel,Core i9-10900F  ,10,2.8 GHz,5.2 GHz,65 W,,Yes,5,4,$240.06,2019.0
Intel,Core i5-12600  ,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,5,3,$239.99,2021.0
Intel,Core i5-9600KF  ,6,3.7 GHz,4.6 GHz,95 W,,No,5,10,$185.12,2018.0
Intel,Core i5-10500  ,6,3.1 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0,0,$177.84,2019.0
Intel,Core i3-10105  ,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,5,4,$96.00,2019.0
Intel,Core i5-7600  ,4,3.5 GHz,4.1 GHz,65 W,Intel HD Graphics 630,No,5,21,$89.00,2016.0
AMD,Ryzen 7 1800X  ,8,3.6 GHz,4 GHz,95 W,,Yes,5,51,$235.00,2017.0
Intel,Core i3-10305  ,4,3.8 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0,0,$169.99,2019.0
Intel,Core i9-9900  ,8,3.1 GHz,5 GHz,65 W,Intel UHD Graphics 630,Yes,5,3,$315.00,2018.0
Intel,Core i5-9500  ,6,3 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,No,5,1,$160.74,2018.0
Intel,Core i9-10900X  ,10,3.7 GHz,4.7 GHz,165 W,,Yes,5,1,$615.00,2019.0
Intel,Core i9-9900K  ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5,2,$954.81,2018.0
Intel,Core i9-10900  ,10,2.8 GHz,5.2 GHz,65 W,Intel UHD Graphics 630,Yes,5,3,$291.97,2019.0
Intel,Core i9-12900F  ,16,2.4 GHz,5.1 GHz,65 W,,Yes,0,0,$432.99,2021.0
Intel,Core i9-11900  ,8,2.5 GHz,5.2 GHz,65 W,Intel UHD Graphics 750,Yes,5,2,$270.00,2020.0
Intel,Core i5-8400  ,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,5,1,$249.95,2017.0
Intel,Core i9-11900F  ,8,2.5 GHz,5.2 GHz,65 W,,Yes,0,0,$240.00,2020.0
Intel,Core i7-7700  ,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,4,1,$329.95,2016.0
Intel,Core i9-7960X  ,16,2.8 GHz,4.4 GHz,165 W,,Yes,0,0,$357.22,2016.0
Intel,Core i9-7900X  ,10,3.3 GHz,4.5 GHz,140 W,,Yes,5,8,$400.00,2016.0
Intel,Core i9-12900  ,16,2.4 GHz,5.1 GHz,65 W,Intel UHD Graphics 770,Yes,0,0,$458.00,2021.0
Intel,Core i7-8086K  ,6,4 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5,18,$456.00,2017.0
Intel,Core i5-11500  ,6,2.7 GHz,4.6 GHz,65 W,Intel UHD Graphics 750,Yes,5,9,$169.21,2020.0
Intel,Core i7-8700  ,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,5,2,$389.45,2017.0
Intel,Core i3-9100  ,4,3.6 GHz,4.2 GHz,65 W,Intel UHD Graphics 630,No,5,7,$145.00,2018.0
Intel,Core i7-9700F  ,8,3 GHz,4.7 GHz,65 W,,No,0,0,$199.00,2018.0
Intel,Core i5-8600  ,6,3.1 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,No,5,4,$175.00,2017.0
Intel,Core i5-7400T  ,4,2.4 GHz,3 GHz,35 W,Intel HD Graphics 630,No,0,0,$63.50,2016.0
Intel,Core i5-11600  ,6,2.8 GHz,4.8 GHz,65 W,Intel UHD Graphics 750,Yes,5,2,$150.00,2020.0
Intel,Core i7-7820X  ,8,3.6 GHz,4.5 GHz,140 W,,Yes,5,10,$375.00,2016.0
Intel,Core i7-7800X  ,6,3.5 GHz,4 GHz,140 W,,Yes,5,12,$499.99,2016.0
Intel,Core i9-9900K ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5,8,$468.00,2018.0
AMD,Ryzen 3 1200 ,4,3.1 GHz,3.4 GHz,65 W,,No,5,4,$105.00,2017.0
Intel,Core i5-7500T  ,4,2.7 GHz,3.3 GHz,35 W,Intel HD Graphics 630,No,0,0,$69.00,2016.0
Intel,Core i9-7920X  ,12,2.9 GHz,4.4 GHz,140 W,,Yes,0,0,$586.20,2016.0
Intel,Core i7-9700  ,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,0,0,$299.80,2018.0
Intel,Core i5-9600  ,6,3.1 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,No,0,0,$195.00,2018.0
Intel,Core i5-10600  ,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,5,3,$299.95,2019.0
Intel,Core i7-7740X  ,4,4.3 GHz,4.5 GHz,112 W,,Yes,5,1,$250.00,2016.0
Intel,Core i9-7980XE  ,18,2.6 GHz,4.4 GHz,165 W,,Yes,4,1,$1106.20,2016.0
Intel,Core i7-7800X  ,6,3.5 GHz,4 GHz,140 W,,Yes,0,0,$277.00,2016.0
Intel,Core i7-7700T  ,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,4,1,$489.95,2016.0
Intel,Core i3-10300  ,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,5,1,$120.66,2023.0
Intel,Core i5-8400T  ,6,1.7 GHz,3.3 GHz,35 W,Intel UHD Graphics 630,No,0,0,$139.00,2017.0
Intel,Core i7-8700T  ,6,2.4 GHz,4 GHz,35 W,Intel UHD Graphics 630,Yes,0,0,$199.00,2017.0
Intel,Core i5-7400  ,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,0,0,$110.00,2016.0
Intel,Core i9-9900X  ,10,3.5 GHz,4.4 GHz,165 W,,Yes,0,0,$649.95,2018.0
Intel,Core i7-10700K Avengers Collector's Edition  ,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,0,0,$741.00,2019.0
Intel,Core i3-10320  ,4,3.8 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,0,0,$123.49,2019.0
Intel,Core i5-9600KF  ,6,3.7 GHz,4.6 GHz,95 W,,No,5,2,$339.95,2018.0
Intel,Core i3-9350KF  ,4,4 GHz,4.6 GHz,91 W,,No,4,1,$206.00,2018.0
Intel,Core i9-7900X  ,10,3.3 GHz,4.5 GHz,140 W,,Yes,0,0,$898.95,2016.0
Intel,Core i5-7400T  ,4,2.4 GHz,3 GHz,35 W,Intel HD Graphics 630,No,0,0,$82.62,2016.0
Intel,Core i5-8500  ,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0,0,$159.99,2017.0
Intel,Core i7-7700T  ,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,0,0,$380.00,2016.0
Intel,Core i3-9300  ,4,3.7 GHz,4.3 GHz,62 W,Intel UHD Graphics 630,No,0,0,$165.00,2023.0
Intel,Core i9-7980XE  ,18,2.6 GHz,4.4 GHz,165 W,,Yes,0,0,$1249.95,2016.0
Intel,Core i5-7640X  ,4,4 GHz,4.2 GHz,112 W,,No,0,0,$250.00,2016.0
Intel,Core i5-7640X  ,4,4 GHz,4.2 GHz,112 W,,No,0,0,$225.40,2016.0
Intel,Core i7-7820X  ,8,3.6 GHz,4.5 GHz,140 W,,Yes,0,0,$489.05,2016.0
Intel,Core i7-7740X  ,4,4.3 GHz,4.5 GHz,112 W,,Yes,0,0,$504.57,2016.0
Intel,Core i5-8600  ,6,3.1 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,No,0,0,$269.95,2017.0
Intel,Core i5-7600T  ,4,2.8 GHz,3.7 GHz,35 W,Intel HD Graphics 630,No,0,0,$229.95,2016.0
Intel,Core i5-7500T  ,4,2.7 GHz,3.3 GHz,35 W,Intel HD Graphics 630,No,0,0,$195.15,2016.0
