Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 Silverstone DA850 Gold  ,ATX, Rating80+ Gold,850 W,Full,5, 2,
 MSI MPG A1000G  ,ATX, Rating80+ Gold,1000 W,Full,5, 2,$179.99
 Asus TUF Gaming 750G  ,ATX, Rating80+ Gold,750 W,Full,0, 0,
 GameMax GX Pro Rampage  ,ATX, Rating80+ Platinum,1050 W,Full,0, 0,$159.99
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,850 W,Full,5, 1,$119.99
 Asus ROG Strix  ,ATX, Rating80+ Gold,750 W,Full,5, 12,$119.99
 EVGA SuperNOVA 850G XC  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$109.99
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,850 W,Full,0, 0,$147.99
 be quiet! System Power 9 500 CM  ,ATX, Rating80+ Bronze,500 W,Semi,5, 2,
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1200 W,Full,5, 1,$154.99
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1000 W,Full,5, 3,$208.67
 EVGA GE  ,ATX, Rating80+ Gold,500 W,No,5, 1,
 EVGA 850 BQ  ,ATX, Rating80+ Bronze,850 W,Semi,5, 22,$99.99
 KOLINK Classic Power  ,ATX, Rating80+ Bronze,700 W,No,5, 1,
 Cooler Master MWE Gold V2 ATX3.0  ,ATX, Rating80+ Gold,1250 W,Full,0, 0,$129.99
 ARESGAME AGV  ,ATX, Rating80+ Bronze,500 W,No,4, 8,
 Silverstone FX600 Platinum  ,Flex ATX, Rating,600 W,No,0, 0,$179.99
 EVGA SuperNOVA 650 GM  ,SFX, Rating80+ Gold,650 W,Full,5, 36,$128.63
 EVGA SuperNOVA 850 G5  ,ATX, Rating80+ Gold,850 W,Full,5, 16,$134.99
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850 W,Full,5, 1,$194.04
 be quiet! SFX Power 3 450  ,SFX, Rating80+ Bronze,450 W,No,0, 0,$103.10
 ADATA XPG CORE Reactor 650  ,ATX, Rating80+ Gold,650 W,Full,5, 2,$87.99
 Aerocool Integrator  ,ATX, Rating80+ Bronze,500 W,No,4, 6,
 ADATA XPG CORE Reactor 750  ,ATX, Rating80+ Gold,750 W,Full,5, 10,$97.99
 be quiet! SFX L Power  ,SFX, Rating80+ Gold,500 W,Full,4, 3,$180.53
 Deepcool PK750D  ,ATX, Rating80+ Bronze,750 W,No,5, 1,
 Thermaltake Smart BX1 650  ,ATX, Rating80+ Bronze,650 W,No,4, 5,$59.99
 SeaSonic FOCUS Plus Gold  ,ATX, Rating80+ Gold,1000 W,Full,5, 11,$169.99
 Deepcool PM850D  ,ATX, Rating80+ Gold,850 W,No,4, 1,$87.98
 Corsair HX1500i ,ATX, Rating80+ Platinum,1500 W,Full,5, 4,$399.99
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1000 W,Full,0, 0,$210.62
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,750 W,Full,0, 0,$189.90
 Corsair SF450  ,SFX, Rating80+ Platinum,450 W,Full,5, 17,$229.00
 EVGA 450 BR  ,ATX, Rating80+ Bronze,450 W,No,5, 51,
 Thermaltake Smart BM2  ,ATX, Rating80+ Bronze,550 W,Semi,5, 7,
 SeaSonic FOCUS PX  ,ATX, Rating80+ Platinum,850 W,Full,5, 13,$174.99
 EVGA SuperNOVA 1000 G+  ,ATX, Rating80+ Gold,1000 W,Full,5, 16,$342.00
 Cooler Master MWE Bronze V2  ,ATX, Rating80+ Bronze,750 W,No,5, 3,
 Corsair RM850x  ,ATX, Rating80+ Gold,850 W,Full,5, 34,$180.94
 EVGA SuperNOVA 1600 G2  ,ATX, Rating80+ Gold,1600 W,Full,4, 5,$497.00
 SeaSonic VERTEX PX-1200  ,ATX, Rating80+ Platinum,1200 W,Full,5, 1,$329.99
 BitFenix BFG GOLD ATX3.0  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$79.90
 Silverstone SX1000-LPT  ,SFX, Rating80+ Platinum,1000 W,Full,5, 6,$254.04
 Corsair RM850  ,ATX, Rating80+ Gold,850 W,Full,5, 20,$197.94
 SeaSonic PRIME Ultra Titanium  ,ATX, Rating80+ Titanium,1000 W,Full,5, 7,$304.99
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1500 W,Full,0, 0,$249.90
 Segotep GM  ,ATX, Rating80+ Gold,750 W,Full,4, 2,
 Corsair SF600  ,SFX, Rating80+ Gold,600 W,Full,5, 103,$229.00
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850 W,Full,5, 1,$219.99
 Enermax REVOLUTION D.F. 2  ,ATX, Rating80+ Gold,1050 W,Full,5, 2,$113.99
 FSP Group Hydro GE  ,ATX, Rating80+ Gold,550 W,Full,0, 0,$74.98
 EVGA 650 BQ  ,ATX, Rating80+ Bronze,650 W,Semi,5, 53,$84.99
 CoolMax ZX-500  ,ATX, Rating80+,500 W,No,5, 1,$39.99
 Gigabyte UD1000GM PG5 ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$119.99
 EVGA 750 B5  ,ATX, Rating80+ Bronze,750 W,Full,5, 11,$99.99
 Corsair HX1000i  ,ATX, Rating80+ Platinum,1000 W,Full,5, 41,$399.00
 Corsair RM750x SHIFT  ,ATX, Rating80+ Gold,750 W,Full / Side,5, 2,$129.99
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$85.99
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1200 W,Full,0, 0,$239.99
 Aerocool LUX RGB 750M ,ATX, Rating80+ Bronze,750 W,Semi,0, 0,$93.54
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,650 W,Full,5, 25,$135.52
 Deepcool PF700 230V  ,ATX, Rating80+,700 W,No,0, 0,
 SeaSonic S12III  ,ATX, Rating80+ Bronze,650 W,No,5, 23,$76.86
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,750 W,Full,5, 3,$243.90
 Silverstone SFX  ,SFX, Rating80+ Bronze,300 W,No,0, 0,$73.97
 EVGA SuperNOVA 1000 G5  ,ATX, Rating80+ Gold,1000 W,Full,5, 4,$159.99
 Cooler Master M2000  ,ATX, Rating80+ Platinum,2000 W,Full,0, 0,
 SeaSonic VERTEX GX-1000  ,ATX, Rating80+ Gold,1000 W,Full,5, 3,$189.99
 EVGA 550 BP  ,ATX, Rating80+ Bronze,550 W,No,5, 1,$64.61
 Corsair HX850 Platinum  ,ATX, Rating80+ Platinum,850 W,Full,5, 16,$349.00
 Deepcool PQ750M  ,ATX, Rating80+ Gold,750 W,Full,5, 3,
 Montech CENTURY MINI  ,SFX, Rating80+ Gold,750 W,Full,0, 0,
 Silverstone SFX  ,SFX, Rating80+ Bronze,450 W,No,4, 1,$95.38
 SeaSonic PRIME TX  ,ATX, Rating80+ Titanium,1300 W,Full,5, 1,$439.99
 Silverstone HELA 1200R  ,ATX, Rating80+ Platinum,1200 W,Full,5, 3,$249.99
 Phanteks Revolt SFX  ,SFX, Rating80+ Platinum,850 W,Full,5, 1,
